h,oc
0.096896735,36.3
0.072660729,42.6
0.062817361,37.4
0.068629028,77.2
0.083042832,39.3
0.07987523,16.3
0.078134263,38.9
0.085376172,43.4
0.098080665,20.8
0.056786443,146.9
0.059520943,96.7
0.081563396,34.2
0.078406495,35.1
0.076212261,47
0.066460327,55.5
0.078269427,26.1
0.06333431,78.5
0.060374536,80
0.080533174,24.3
0.067517971,45.2
0.064326977,104.3
0.058433117,91.5
0.067984317,45.7
0.078527902,10.5
0.07160386,33.4
0.061073845,75.7
0.069290589,42.1
0.070049574,79.1
0.082906401,45.6
0.06551185,60.5
0.070845975,55
0.069468874,56.2
0.072272987,54.4
0.078453735,33.2
0.073761287,23.4
0.083569499,21.8
0.056392724,70.9
0.085961978,11.7
0.109049578,4
0.078977263,42.7
0.09378329,18
0.078524239,28.1
0.06997313,37.7
0.072429045,33.3
0.083517827,22.3
0.082565008,39.5
0.080586776,78.1
0.092255494,13.7
0.085101022,19.4
0.068215732,65.1
0.065045652,47.5
0.07816711,28.4
0.066847223,44.8
0.083615719,11.2
0.061916169,145.2
0.075149877,26.9
0.067851457,25.8
0.07805763,23.8
0.077536708,32.5
0.078328419,28.9
0.084657524,17.5
0.088993791,33.5
0.061575491,111.4
0.082323484,13.7
0.063200803,45.7
0.058314716,64.1
0.074713887,22.8
0.090481602,32
0.067164918,42.6
0.064097214,71.6
0.076934442,35.1
0.068891297,18.7
0.058313784,31.1
0.051243911,157.2
0.078911446,35.7
0.079219549,31.9
0.081923063,19.8
0.088355004,24.4
0.069204041,66.6
0.078738737,33
0.082987264,41.7
0.073937295,29.8
0.072901735,32.9
0.0721376,45.5
0.081294018,37.1
0.076129769,31.7
0.074680446,68.7
0.074377958,45.1
0.073355443,31.8
0.087215227,17.5
0.082699875,33.5
0.074917929,33.5
0.087486173,25
0.084534715,27
0.088918562,15.7
0.082016533,24.1
0.087801601,20.2
0.082459315,36.3
0.090279557,23.9
0.075078807,49.8
0.07226409,40.4
0.070833243,39.8
0.059317152,52.8
0.074447878,45.9
0.073658107,28.1
0.047776142,45.8
0.076311953,16.3
0.077978441,18.2
0.074657711,47.9
0.087979046,21.8
0.087803394,18.8
0.082427754,17
0.089163329,22.5
0.075780725,31.6
0.095953986,33.1
0.083484166,22.1
0.081889499,44.6
0.096401787,12.1
0.088688979,26.9
0.09278865,16.5
0.091403572,13.6
0.081276374,53
0.104375914,17.4
0.071531203,47.1
0.077957339,54.3
0.080092022,23.9
0.06689859,41.6
0.09770455,6.4
0.075080706,36.4
0.069584646,54.3
0.078689101,33.7
0.056941542,139.4
0.081557471,39.4
0.074988117,42.7
0.07693197,37
0.071134756,28.8
0.077316267,55
0.068920757,51.7
0.075578196,48.9
0.079179718,14.1
0.087496737,22.7
0.083203592,17.2
0.084296921,13.9
0.079529773,15.8
0.086556194,22.6
0.054050814,97
0.074517778,24.3
0.073584763,37.7
0.076115795,23.5
0.078322896,13.5
0.06588552,37.1
0.076192116,33.7
0.087486022,12.5
0.074586352,29.7
0.063922229,117.1
0.064936915,67
0.084311403,21
0.076427024,30.8
0.085623476,9.9
0.074586142,27.8
0.080979808,15.9
0.075894312,20.9
0.072924679,28.4
0.07091431,43.4
0.078758825,21
0.07557072,24.7
0.071302665,33.6
0.080982491,19.8
0.068822504,33.3
0.052849001,153.5
0.080757285,17.3
0.085463571,12.6
0.077886144,16.9
0.081776378,22.3
0.081554031,22
0.089866145,16.5
0.077242698,38.4
0.082909887,37
0.086266404,15
0.085654806,18.3
0.080187856,34.4
0.080445871,28.9
0.076343423,36.4
0.077812692,36
0.083625305,35.2
0.077935035,30.5
0.080819292,23.2
0.073621026,70
0.089510223,26.2
0.067796522,94.9
0.060880653,121
0.074451985,15.5
0.070335597,18
0.067427192,14.6
0.088322109,13.9
0.071668263,44.9
0.070099814,18.9
0.089611253,14.1
0.069323101,10.6
0.074112272,30.9
0.064550551,13.1
0.074021023,23.7
0.07638004,18.6
0.069098431,15.8
0.0671413,17.6
0.08248442,16.4
0.062165609,8.1
0.061053449,17.9
0.069330176,15.4
0.088701842,12.1
0.08749472,26.1
0.084518342,20.4
0.098504799,9.8
0.081561232,25.1
0.065910168,13.3
0.070735163,21.3
0.084967133,23.8
0.08131637,15.9
0.069231004,18.7
0.081900891,18.1
0.067896271,26.2
0.077703026,13.4
0.080798024,22.1
0.083568622,14.3
0.077824067,18
0.087050201,14.7
0.080142004,29.7
0.083122451,18.3
0.067501823,16.6
0.064899569,21
0.082277516,9.7
0.08841391,10.9
0.071363109,26
0.082259786,11.1
0.07524524,47.6
0.085802983,11.2
0.066892503,20.6
0.084598825,16.2
0.070731267,55.4
0.081448493,17.2
0.083496869,13.2
0.076650674,20.8
0.078159758,14.6
0.076667685,33.1
0.076697283,12.2
0.071201176,32.5
0.071641539,24
0.076631214,20.9
0.068006215,68
0.076476676,34
0.069460061,29.8
0.081961172,11.8
0.081537296,14.6
0.064399437,83.5
0.072626001,38.7
0.071855111,45.6
0.091687144,17.3
0.04351636,319.3
0.068249886,62.5
0.052707532,126.5
0.054847523,166.6
0.070024899,55.9
0.052756688,146.5
0.038534567,286.8
0.069359177,64.5
0.067337002,60.3
0.036010162,325
0.064024695,168.4
0.077104634,101.1
0.063119259,105.1
0.049322924,218.7
0.09232564,27.7
0.051275825,206
0.080333387,74.6
0.07819243,37.3
0.065731319,77.1
0.060382669,79.2
0.047197681,174.7
0.042816527,329.2
0.055650252,165.4
0.045226122,332.6
0.055290593,187.3
0.070445216,139.5
0.074491044,110.1
0.047356986,255.2
0.089085127,37.3
0.064488572,63.1
0.044355919,277
0.056366129,87.2
0.069714018,31.5
0.074070154,86.4
0.066587259,43.1
0.090361411,24.9
0.089234935,21.2
0.069345087,76.1
0.111070606,49.3
0.054607335,142.7
0.054876882,112.1
0.075685503,62.5
0.074269434,26
0.066170678,36.6
0.067492542,67
0.062394724,131.6
0.070267442,64.5
0.084624057,37.3
0.056540752,308.3
0.0690619,96.3
