hue,oc
3.750964678,43.53
8.69807234025,0.15
2.72600877033,0.7544
1.44772550799,0.0852
4.52819299257,1.23
1.52089685983,40.74
7.53804252624,0.21
4.3494598557,0.7616
10.318788908,0.16
1.27828132101,2.0316
9.7841633437,0.3856
3.77269810362,3.39
6.21856344693,0.76
4.95282124483,0.16
6.39140468017,0.15
1.1601671216,0.5616
12.1051521295,0.044
7.29286940371,47.32
3.66887158,0.4692
4.94840819217,29.55
4.66870403226,0.57
2.28304369652,5.56
14.5112463482,0.27
4.36628512666,0.7968
11.9638486897,3.8
4.05996099156,2.8952
5.31063257988,0.9096
3.99912752121,0.08
4.26113880306,2.11
3.16221560437,0.54
8.48130645716,11.2
5.00590944295,1.0212
3.7759280554,5.2292
6.43796600146,1.0632
2.6610337833,11.59
5.5466425239,1.2176
10.5622207084,0.14
20.2596476665,0.02
7.33542884764,1.81
9.78263300389,1.36
6.86114966016,2.56
3.27620594778,0.46
3.83100874149,1.046
0.977467737914,11.2792
4.96406586475,4.18
4.26855988371,33.31
5.15294239709,1.58
9.01792996778,50.12
4.45890754592,0.46
2.88062594468,0.354
5.09093801283,1.5872
2.31739487403,0.9332
0.697961116629,1.3368
4.61926009596,43.12
10.1507338343,0.59
11.2264948382,0.318
7.97916502481,0.29
4.31027886033,7.96
11.0064750027,3.31
5.37906228721,1.64
4.23648498876,0.51
4.64245525404,0.86
4.23560458272,0.65
5.54368714014,0.36
3.29120567698,1.2056
4.20030734133,1.424
9.11378938774,0.2312
4.94066737955,3.1
3.39424682256,0.21
6.87847511949,39.27
4.82819836927,0.18
9.86268629139,0.1052
1.4947187771,0.06
7.97274714112,13.84
10.897682336,0.26
2.1150939124,2.79
7.4692313659,1.03
11.0886689937,0.23
7.68461905962,0.1436
4.65146087353,0.88
8.68385220982,0.25
3.64284857446,1.798
8.95276652238,3.83
5.48358762917,0.15
10.3223007165,0.21
7.69194164165,0.22
5.34609227658,1.79
8.2022763263,0.3068
5.45814852481,8.15
2.94092932683,21.23
3.80424993741,0.4104
6.63290305451,1.2928
2.76601525346,0.2456
2.53627582394,0.3732
7.48363748474,0.34
5.84298600037,12.08
2.26299602287,21.59
6.97989691631,2.18
4.28314348278,0.1656
3.9277712276,0.8352
2.04253573594,0.2816
10.0312101263,1.59
4.41939068434,1.95
9.83872307538,0.17
4.96280834584,0.1676
5.3171515239,1.81
5.82807925965,32.99
7.96651423058,0.768
4.09532262288,0.04
3.01435063761,51.09
0.524369819714,0.5892
12.2429069032,0.468
3.79457198943,2.77
4.69089280564,0.174
5.16115072425,0.02
2.12025783769,16.82
6.7746732728,45.7
6.27132794467,1.25
7.97467139771,2.27
6.02653928794,1.74
-0.558945356714,0.3132
2.83019581392,2.1112
10.8456710533,0.1
2.94758742458,0.912
5.36232240462,2.63
3.95881513491,2.81
12.203413382,52.61
3.62540792702,0.79
7.24803949369,1.0812
5.45855242815,0.444
3.87378106426,0.4128
10.6571380517,0.15
5.75243358651,2.8156
5.51362463349,1.77
3.35497592042,3.1868
9.1845483781,0.0996
1.12464650174,5.06
1.00209080546,2.2448
5.59871557762,6.94
-0.182865404538,0.1
3.69449338273,2.5048
4.10415783626,0.13
7.05936300987,1.29
5.5079979647,41.58
1.32440232523,12.16
6.81348123088,0.1076
6.29276878917,2.39
3.46220699187,0.2224
0.65064821038,0.04
8.5817864358,38.11
2.36663172922,1.75
8.92694837654,4.28
3.36322665674,5.18
7.8291444677,0.37
6.03647859276,0.1356
2.94561555007,4.6004
4.3463259109,1.92
2.53148179599,2.83
8.58708259058,0.07
4.14643765459,0.6864
0.93875611449,0.5872
4.60706911696,0.7488
2.37337920141,0.1208
2.90616020807,0.05
2.98484634739,0.39
7.63248741339,0.13
3.52531675246,0.1472
4.29542254701,1.4904
4.11201582078,1.3388
4.3066799015,1.79
11.2284237982,0.2548
5.53543587468,46.38
8.18538531257,0.18
6.71921027392,1.99
2.8777022218,37.524
5.94118106526,0.59
3.88530274996,1.42
3.2901187253,4.398
3.392547138,1.2928
2.82279708384,3.8012
6.37076729285,1.5124
1.71939889353,14.8744
2.84777664184,1.49
1.86512154594,0.22
3.93240624177,1.6244
0.443160643878,17.06
22.3279045299,0.17
6.75513269593,0.6116
6.98841393284,0.6504
1.43871148456,2.2
11.4554365426,1.66
4.32927901704,0.2416
0.746956670467,39.66
4.53237956896,0.89
1.63023387339,3.2884
3.31098643642,0.4456
4.75448096485,0.64
4.47335150439,2.86
18.2143905202,6.25
6.94786987773,1.79
3.76040818534,9.6888
2.75646967331,4.56
17.4074880842,1.02
7.25947448687,0.07
1.60623456592,54.34
3.4170366064,2.09
25.559160774,0.09
10.9854802881,0.5512
6.22803181512,1.97
5.30416891439,2.23
8.60370015998,0.58
16.9573225935,0.15
1.89541555285,3.4388
7.87989665032,2.0
7.15086167578,0.2096
5.30896509205,1.78
1.74562732621,1.0644
7.19940827687,0.2
6.33634269494,2.198
2.18087084224,0.5356
0.950077667362,0.37
5.33540509269,21.5008
1.87247264519,10.98
6.43570438024,0.3524
1.84328747131,0.17
4.65180852338,2.43
6.84564281403,3.02
1.88522553247,1.6232
11.8768209893,0.7
1.9990982148,0.07
7.76013264589,0.306
6.97961066941,3.11
1.63954832642,0.16
0.450166093761,24.09
5.59355776868,0.76
11.8060265904,3.47
5.85237322935,44.25
1.40546374762,6.8396
18.354191965,0.07
2.19689782848,0.1348
3.45819919624,0.4892
9.66203722391,52.55
3.25102855207,0.79
4.0914372316,2.73
8.2134177286,0.07
1.94940695966,1.31
0.8964898285,1.4404
6.57213566304,1.102
12.9694456739,16.24
6.06952622313,1.39
6.12108467364,3.18
14.6567164816,0.62
4.52193272856,0.15
8.01853404622,2.2
9.02262308266,0.19
6.17425385941,0.35
3.91706366988,0.91
4.76503081172,5.41
3.64742313592,0.9184
1.5569868437,4.68
2.04339713252,0.0944
5.5175987819,1.3024
8.76339665009,1.28
3.06107654962,0.08
0.973504881171,1.7668
3.63582250108,2.8328
3.4214097428,2.8332
4.46301472334,0.246
4.04882528707,1.81
5.23110550309,0.44
3.62055537178,0.2
6.20693086164,0.2832
4.02875739936,0.9304
7.41928765647,1.77
4.68778734244,1.88
5.69549593599,0.7024
7.52715313966,0.97
5.29513700954,2.4116
8.64417838245,0.1232
6.49821665358,0.2968
3.90307465681,0.1
3.66559586681,0.6372
3.94849648583,1.2848
4.04304612886,0.4208
5.4325207681,0.86
4.32752814086,0.2516
9.68698824988,1.116
5.06338690384,0.13
0.440719736762,0.6524
4.93626983897,0.5548
3.22040910843,21.93
2.32091652233,0.2628
7.42567406295,0.03
3.71915816236,41.34
0.432746393557,0.28
3.17135616667,2.94
10.920122145,0.84
6.20679425297,0.48
1.3035565555,0.1912
-0.786453671769,0.128
3.65461815843,0.8812
3.32048656739,0.13
3.18032335901,0.3036
8.50405708081,0.63
3.24859639242,2.4892
5.35341978184,1.8484
0.874759479139,0.0512
27.4941628704,0.11
12.1070558473,0.2876
6.09440637438,0.5692
9.643190875,0.2368
8.61018299509,0.12
11.9501643613,0.07
0.293080970007,0.2872
3.62834382511,2.8104
0.949013469027,0.692
3.51395539463,1.25
3.27030180322,2.9956
5.01353066864,1.3532
4.54525984994,0.63
2.73428415229,3.9684
4.16327632836,1.95
7.07861188838,9.84
5.24318785924,1.37
2.72486403451,3.01
4.65230818787,0.8476
12.5545542709,4.51
7.54998264936,0.45
4.68605609771,38.5
6.68923149509,1.4424
7.41174030499,14.01
1.14140437616,0.35
1.9164372515,4.72
2.56716776934,0.0732
8.03806665353,1.06
22.3493024069,0.29
4.83284982795,0.28
7.40962409582,2.55
8.64471456968,46.64
5.39592544791,1.7436
8.84599121461,1.06
1.17798833623,5.4664
5.25642945453,0.63
3.22531919328,1.634
0.475757642782,0.2304
4.34404364327,42.9
4.41506398819,6.3344
6.32122391837,36.4
26.2728969178,0.14
2.53724543556,8.06
7.32342408695,3.49
4.74456193377,1.22
4.57891392694,0.71
1.73296044946,16.8192
5.01903927233,0.37
13.885578044,0.54
2.16072072738,60.0
5.62563254214,4.66
5.07181270693,1.552
1.65331421282,0.9996
1.55264627904,43.61
5.10037412871,0.1616
6.70739738797,40.11
3.57218730278,0.2076
4.41335985488,57.16
8.32146284805,0.12
4.91123193068,0.34
1.07130265777,2.886
1.81592843381,0.65
2.507873676,0.4504
1.99199649287,5.0
3.91984187669,0.83
6.00782685245,0.12
3.59312900383,1.3652
0.787935505806,0.0688
4.45400976549,0.55
1.78979728296,2.004
2.1266301446,0.318
5.73209201142,1.33
6.3576441947,1.1812
3.37550819949,1.57
2.50027342536,3.2
6.68901851155,2.45
5.54059258628,0.9372
5.50372488737,1.342
5.87090772193,47.58
18.0194901514,0.044
0.769368736776,8.2332
4.03514017209,32.14
1.53288144695,0.0416
1.21981542198,0.61
0.759750427179,3.41
4.05997809368,0.52
15.1706644585,0.1
3.48673736042,2.1268
1.6722290884,0.1032
4.26299006357,0.1284
7.13433109093,0.36
4.17748536684,1.5
5.91695007724,0.1252
7.09799237286,0.6996
