hue,oc
0.15,0.95
0.174,0.42
0.175,0.38
0.093,0.27
0.12,0.34
0.135,0.18
0.159,0.13
0.115,0.99
0.116,0.65
0.105,0.46
0.127,0.47
0.09,0.19
0.1,0.15
0.108,0.13
0.081,1.18
0.074,0.74
0.072,0.52
0.087,0.32
0.03,1.98
0.03,1.14
0.03,0.89
0.03,0.75
0.029,0.52
0.027,0.34
0.031,2.47
0.03,1.15
0.032,0.88
0.032,0.8
0.029,0.53
0.05,0.83
0.046,0.49
0.048,0.31
0.048,0.22
0.052,0.11
0.038,2.84
0.038,1.62
0.039,0.92
0.036,0.43
0.035,2.58
0.035,1.76
0.034,1.34
0.037,0.75
0.036,0.5
0.042,0.14
0.041,0.09
0.038,0.06
0.039,0.03
0.052,3.69
0.059,2.26
0.064,1.85
0.075,0.53
0.052,5.52
0.052,4.19
0.061,2.81
0.062,2.03
0.077,1.37
0.076,0.6
0.119,0.09
0.108,1.42
0.121,1.03
0.158,0.64
0.183,0.36
0.19,0.2
0.189,0.11
0.193,0.09
0.191,0.1
0.195,0.1
0.066,7.89
0.07,6.37
0.085,2.93
0.105,1.74
0.138,0.82
0.155,0.45
0.162,0.3
0.15,0.15
0.147,0.12
0.201,2.64
0.223,1.37
0.236,0.77
0.239,0.5
0.242,0.35
0.22,0.27
0.06,2.58
0.061,1.9
0.049,1.47
0.044,1.36
0.041,1.21
0.047,0.79
0.057,0.45
0.06,0.3
0.048,0.25
0.085,3.33
0.089,2.51
0.096,1.87
0.097,1.43
0.097,1.03
0.099,0.46
0.105,0.45
0.093,0.3
0.089,0.11
0.055,2.46
0.052,1.8
0.052,1.67
0.066,0.64
0.079,0.31
0.081,0.12
0.084,0.05
0.124,1.49
0.138,0.74
0.151,0.42
0.107,0.23
0.1,0.05
0.117,1.97
0.189,0.71
0.318,0.29
0.302,0.21
0.289,0.07
0.314,0.05
0.374,0.06
0.094,0.65
0.098,0.42
0.146,0.16
0.122,0.48
0.161,1.11
0.217,0.85
0.099,1.0
0.135,0.42
0.127,0.29
0.184,0.1
0.156,0.16
0.155,0.16
0.15,0.49
0.094,1.16
0.067,0.72
0.064,0.28
0.07,0.19
0.113,0.04
0.161,0.56
0.18,0.23
0.11,0.38
0.152,0.16
0.141,1.74
0.163,1.15
0.135,0.59
0.165,0.27
0.206,0.14
0.283,0.06
0.279,0.07
0.098,0.66
0.108,0.45
0.098,0.35
0.102,0.29
0.095,0.2
0.088,0.12
0.077,0.08
0.086,0.08
0.083,0.02
0.038,1.17
0.037,0.97
0.038,0.84
0.037,0.64
0.039,0.45
0.042,0.31
0.043,0.18
0.041,0.12
0.054,2.89
0.055,1.74
0.059,1.36
0.059,1.0
0.05,0.85
0.06,0.67
0.067,0.51
0.062,0.37
0.064,0.23
0.107,6.55
0.103,3.78
0.13,1.45
0.178,0.35
0.234,0.33
0.236,0.2
0.218,0.11
0.232,0.05
0.235,0.0
0.124,2.0
0.185,0.54
0.195,0.29
0.211,0.17
0.201,0.22
0.198,0.2
0.222,0.14
0.262,0.13
0.237,0.05
0.247,0.02
0.13,2.9
0.169,1.4
0.18,1.2
0.193,0.9
0.168,0.71
0.177,0.32
0.133,0.4
0.153,0.14
0.095,0.11
0.098,0.1
0.196,0.03
0.18,0.07
0.266,0.5
0.291,0.27
0.344,0.14
0.423,0.02
0.498,0.03
