hue,oc
0.091697738,49.67409091
0.063084039,49.67409091
0.081749215,55.53
0.07775222,43.37
0.075278714,44.86
0.085307381,48.47090909
0.078186724,48.47090909
0.072896177,48.87838486
0.062407857,49.02
0.083169731,20.27796224
0.139328675,20.27796224
0.058558366,43.01815707
0.077906054,55.12
0.100880907,53.27
0.09148774,35.52
0.165383401,25.5
0.214275342,48.09
0.127267832,55.14
0.113106945,8.684545381
0.181170192,50.13
0.167422433,52.93
0.087512721,51.93
0.147014578,46.31
0.164999087,49.81
0.092490875,55.24
0.121173723,52.75
0.124087033,53.75
0.098076195,50.37
0.113048969,51.64
0.10785935,52.52
0.08777846,52.11
0.112213525,34.15
0.156248649,4.87
0.144648814,6.42
0.11429153,25.0
0.144529165,14.67
0.111650712,25.53
0.115834566,24.67
0.127346151,14.04
0.153100375,44.88
0.127526526,13.24
0.134302558,12.38
0.115828828,43.48
0.185395114,8.8
0.108427145,22.56
0.223976043,25.77
0.234143983,25.94
0.182632472,22.78
0.159023418,31.72
0.225850273,26.86
0.138495168,26.91
0.213633226,30.84
0.16484694,23.04
0.198548378,26.36
0.206654963,27.75
0.171701721,21.18
0.122768797,35.18
0.145594751,35.18
0.15808643,25.27
0.153141668,25.8
0.165066276,28.94
0.150769521,28.94
0.080308943,37.21568627
0.077874202,37.21568627
0.119771033,9.351114361
0.056536279,39.67
0.078418783,31.57
0.080179074,40.3
0.109267251,37.81
0.183941313,28.39
0.448390892,11.22
0.100278398,37.23
0.101915419,21.88772286
0.31670551,15.69196475
0.297367713,17.76
0.13599472,25.37658281
0.078103246,21.88772286
0.190249667,15.69196475
0.228851295,22.47
0.121988606,25.37658281
0.152318405,21.88772286
0.253867647,15.69196475
0.190377279,24.11
0.090467215,25.37658281
0.091563671,21.88772286
0.243118928,15.69196475
0.298500209,23.45
0.088070009,44.89130435
0.077357938,44.89130435
0.078424076,51.7
0.06696181,50.63
0.138877658,28.24521739
0.146496698,28.24521739
0.07219365,44.32513514
0.071493885,44.32513514
0.072334322,51.21
0.086808752,28.80703704
0.111939048,28.80703704
0.068882081,46.49605263
0.091446358,46.49605263
0.058568614,48.18
0.106904615,28.34862069
0.144882152,28.34862069
0.09663921,34.58
0.069124665,48.36
0.137167718,29.11875
0.116607452,29.11875
0.09659957,50.01
0.07553025,47.32
0.241284824,37.03
0.200073614,30.34
0.202705421,29.04
0.188135231,37.96
0.188796448,40.44
0.170046719,20.97
0.135328675,23.95
0.182539105,19.46
0.15782822,18.23
0.074499549,8.64
0.115782269,32.18
0.144878837,21.39
0.139611044,19.9
0.138485324,31.75
0.131000545,23.4
0.131365811,28.98
0.124793966,27.89
0.181628894,14.37
0.08662799,29.52
0.09350409,29.41
0.121272655,29.3
0.098303145,25.38
0.114495232,29.98
0.098795923,28.52
0.104080157,23.02
0.094647845,40.38
0.06453919,23.05058632
0.085291698,40.27
0.058913378,23.05058632
0.277641381,1.231240139
0.28602526,1.019437427
0.314336615,1.403542372
0.230972804,1.973499436
0.234933199,1.122949764
0.273872239,2.345089062
0.286468166,1.596976628
0.123852978,51.98
0.143803366,46.44
0.186836419,39.55
0.128055549,48.46
0.142854556,50.72
0.129941294,53.65
0.143616345,53.7
0.144261638,53.97
0.134285874,57.67
0.14660096,54.32
0.209993083,53.48
0.14255628,19.56676519
0.18956274,3.106077263
0.185426429,2.044253845
0.247838187,1.147093988
0.227295652,0.840353695
0.242145029,1.053498817
0.155149087,2.150083908
0.175619693,2.080028254
0.120848257,2.378158187
0.126025846,14.28984508
0.171069677,26.2
0.258185204,26.2
0.17179118,31.55
0.19337488,44.75
0.170768098,41.51
0.207891041,46.56
