,lr-rgb,lr-hsv,lr-cielab,plsr-rgb,plsr-hsv,plsr-cielab,rf-rgb,rf-hsv,rf-cielab,svr-rgb,svr-hsv,svr-cielab,nn-rgb,nn-hsv,nn-cielab
lucas-0-0,0.239917793,0.333394759,0.261422482,0.234545685,0.33295079,0.25983189,0.627855887,0.684554513,0.674405689,0.548080815,0.590203991,0.567852033,0.675966958,0.705105539,0.693817897
lucas-0-1,0.259150732,0.354096428,0.284277282,0.259139182,0.353221192,0.284157647,0.695752408,0.761365694,0.733713182,0.616857592,0.663248816,0.649964829,0.770720467,0.773720261,0.760714191
lucas-0-2,0.222324036,0.297891431,0.246166934,0.21844854,0.295474236,0.244082257,0.572415857,0.653830446,0.610901327,0.426263403,0.535109551,0.49311539,0.613612236,0.681387565,0.657923819
lucas-0-3,0.250086196,0.341640212,0.273052448,0.248370891,0.341688642,0.273342834,0.645600872,0.750657817,0.704804674,0.566202928,0.641222743,0.574067689,0.700875232,0.754182631,0.725064064
lucas-0-4,0.239519149,0.322020453,0.263238491,0.238250903,0.321810781,0.263053913,0.654912032,0.691933798,0.689381719,0.556693832,0.62021583,0.598957117,0.70630508,0.71247534,0.716556355
lucas-0-5,0.22835367,0.314066303,0.251725883,0.221981957,0.313351531,0.249114808,0.546323201,0.63862331,0.582113524,0.492838651,0.549341468,0.520631246,0.644674487,0.640858182,0.611715351
lucas-0-6,0.24302451,0.337226299,0.267344641,0.238626964,0.338470633,0.266416483,0.643691218,0.785716671,0.721838541,0.601094097,0.692363275,0.658232366,0.77696773,0.798066425,0.783683788
lucas-0-7,0.255765672,0.352000044,0.287238401,0.252431542,0.349442681,0.284083449,0.663324049,0.738558528,0.710447397,0.590529049,0.650664109,0.627632528,0.741241132,0.7621299,0.745528371
lucas-0-8,0.250969853,0.353616371,0.278016481,0.24713196,0.350680405,0.275146475,0.610642929,0.700718255,0.665005099,0.535976258,0.613998048,0.577688321,0.708266912,0.735598738,0.709747433
lucas-0-9,0.256474575,0.353391281,0.285549824,0.252842292,0.35301819,0.283645408,0.702562127,0.807809316,0.751342049,0.623865709,0.699229749,0.677331567,0.796411795,0.79534617,0.793607722
raca-0-0,0.234065943,0.262231333,0.238210929,0.227056208,0.262871653,0.23521932,0.406397861,0.456890878,0.429861508,0.396443504,0.410787587,0.40032121,0.434983461,0.459693412,0.449363698
raca-0-1,0.224340618,0.245774465,0.232305922,0.221630756,0.243824731,0.230109494,0.40350153,0.427482666,0.417689582,0.387513525,0.389552246,0.391063609,0.429305159,0.438323275,0.436464614
raca-0-2,0.22499783,0.251430118,0.234477928,0.225152944,0.249977819,0.232139764,0.41027569,0.414789185,0.419828917,0.406576202,0.407719985,0.393375309,0.428257888,0.408972026,0.431657658
raca-0-3,0.238087005,0.271427204,0.242598678,0.234168434,0.271053644,0.236708527,0.439599292,0.459963533,0.453888361,0.421137873,0.433902191,0.409830521,0.449857845,0.472439652,0.468946839
raca-0-4,0.238226418,0.259792244,0.246064593,0.236039575,0.257083284,0.246143974,0.42221559,0.441800276,0.427927484,0.407119431,0.419301678,0.393883055,0.430336361,0.454871785,0.445520289
raca-0-5,0.216359301,0.246867093,0.219871966,0.210630673,0.248173816,0.216659513,0.373771191,0.416882807,0.391178591,0.374154362,0.379430549,0.382790249,0.402416581,0.419239413,0.411766071
